dt,AverageTemperature,AverageTemperatureUncertainty,Country
1819-01-01,11.043,2.926,Egypt
1819-02-01,14.021,2.873,Egypt
1819-03-01,16.91,4.529,Egypt
1819-04-01,21.378,1.79,Egypt
1819-05-01,25.627,1.892,Egypt
1819-06-01,28.254,2.075,Egypt
1819-07-01,28.721,1.695,Egypt
1819-08-01,28.699,2.042,Egypt
1819-09-01,26.813,1.876,Egypt
1819-10-01,24.64,1.912,Egypt
1819-11-01,19.271,2.025,Egypt
1819-12-01,14.213,2.134,Egypt
1820-01-01,12.064,4.951,Egypt
1820-02-01,14.206,2.113,Egypt
1820-03-01,17.707,2.575,Egypt
1820-04-01,22.887,1.611,Egypt
1820-05-01,27.5,2.171,Egypt
1820-06-01,29.601,1.905,Egypt
1820-07-01,29.559,2.615,Egypt
1820-08-01,28.048,1.903,Egypt
1820-09-01,27.748,1.946,Egypt
1820-10-01,22.161,2.1,Egypt
1820-11-01,17.817,1.684,Egypt
1820-12-01,13.611,2.41,Egypt
1821-01-01,13.969,2.805,Egypt
1821-02-01,14.922,3.396,Egypt
1821-03-01,19.033,2.063,Egypt
1821-04-01,22.04,2.112,Egypt
1821-05-01,27.647,2.143,Egypt
1821-06-01,28.345,2.805,Egypt
1821-07-01,28.457,1.874,Egypt
1821-08-01,28.342,2.026,Egypt
1821-09-01,26.006,1.798,Egypt
1821-10-01,23.091,1.852,Egypt
1821-11-01,18.494,2.436,Egypt
1821-12-01,14.269,2.065,Egypt
1822-01-01,13.68,3.11,Egypt
1822-02-01,15.114,2.132,Egypt
1822-03-01,19.634,2.041,Egypt
1822-04-01,22.254,2.131,Egypt
1822-05-01,25.902,1.907,Egypt
1822-06-01,,,Egypt
1822-07-01,30.236,1.856,Egypt
1822-08-01,29.521,2.127,Egypt
1822-09-01,27.003,1.936,Egypt
1822-10-01,22.892,1.916,Egypt
1822-11-01,17.88,1.913,Egypt
1822-12-01,12.53,2.54,Egypt
1823-01-01,13.461,2.041,Egypt
1823-02-01,14.9,2.071,Egypt
1823-03-01,18.478,2.121,Egypt
1823-04-01,22.34,2.363,Egypt
1823-05-01,,,Egypt
1823-06-01,,,Egypt
1823-07-01,30.156,1.883,Egypt
1823-08-01,,,Egypt
1823-09-01,25.78,1.998,Egypt
1823-10-01,22.269,2.108,Egypt
1823-11-01,17.159,3.035,Egypt
1823-12-01,13.814,1.89,Egypt
1824-01-01,13.497,1.826,Egypt
1824-02-01,14.5,2.386,Egypt
1824-03-01,18.582,2.013,Egypt
1824-04-01,22.385,2.463,Egypt
1824-05-01,27.141,2.104,Egypt
1824-06-01,29.861,2.673,Egypt
1824-07-01,30.494,3.016,Egypt
1824-08-01,30.032,2.273,Egypt
1824-09-01,27.641,2.202,Egypt
1824-10-01,23.757,1.954,Egypt
1824-11-01,19.027,2.145,Egypt
1824-12-01,16.029,2.672,Egypt
1825-01-01,13.243,2.491,Egypt
1825-02-01,14.186,1.979,Egypt
1825-03-01,18.141,2.154,Egypt
1825-04-01,22.759,2.381,Egypt
1825-05-01,26.377,1.937,Egypt
1825-06-01,29.494,1.917,Egypt
1825-07-01,29.998,2.258,Egypt
1825-08-01,29.438,2.36,Egypt
1825-09-01,27.036,2.124,Egypt
1825-10-01,22.912,2.203,Egypt
1825-11-01,20.116,2.15,Egypt
1825-12-01,14.975,1.935,Egypt
1826-01-01,13.658,1.957,Egypt
1826-02-01,12.889,2.256,Egypt
1826-03-01,17.737,1.998,Egypt
1826-04-01,22.16,2.786,Egypt
1826-05-01,26.919,1.952,Egypt
1826-06-01,28.607,2.575,Egypt
1826-07-01,30.499,1.998,Egypt
1826-08-01,29.198,2.186,Egypt
1826-09-01,27.375,2.519,Egypt
1826-10-01,23.268,2.454,Egypt
1826-11-01,19.949,1.821,Egypt
